"","year","plot","Pgrass","Agrass","prgl","Sshrub","forb","litter","bare","sd","total","rare","t2009","t2010","t2011","t2012","t2013","t2014","t2015","t2016","t2017","t2018","ppt2009","ppt2010","ppt2011","ppt2012","ppt2013","ppt2014","ppt2015","ppt2016","ppt2017","ppt2018","meanPPT","pptsd","pptCV","ppt","treat","treat_ppt","total_WUE","Pgrass_WUE","prgl_WUE","gr_sh"
"380",2016,46,72.54783760224,0,29.2040253,0,0,0,0.100257649,0.339677939,101.75186290224,0,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,123.7,"ambient",123.7,0.82256962734228,0.586482114811964,0.236087512530315,0.287012192868236
"389",2016,20,52.48801574016,0,15.5062149,0,0.6592381282,0.019279907,0.156101566,0.574967627,68.65346876836,0.6592381282,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,123.7,"ambient",123.7,0.554999747521099,0.424317022960065,0.125353394502829,0.225862074825654
"393",2016,31,43.90854131664,0.6406,13.2451166,0,0,0.05,0.123200663,0.565953566,57.79425791664,0.6406,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,123.7,"ambient",123.7,0.467213079358448,0.354959913634923,0.107074507679871,0.229177033799866
"395",2016,36,32.195391228,0.41869282888,13.2017375,2.52714982416,2.71450978492,0,0.366309558,0.428518045,51.05748116596,5.66035243796,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,123.7,"ambient",123.7,0.412752475068391,0.260269937170574,0.106723827809216,0.258566172841319
"399",2016,40,61.05528645216,0.20934641444,5.024,0,0.45241832056,0.011666667,0.204309843,0.433212645,66.74105118716,0.661764735,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,123.7,"ambient",123.7,0.53953962156152,0.493575476573646,0.0406143896523848,0.0752760094519839
"402",2017,39,95.91983248848,9.68488470728,26.114438,0,4.9744454616,0.065075548,0,0,136.69360065736,14.65933016888,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,289.56,"ambient",214.12,0.638397163540818,0.447972316871287,0.121961694376985,0.191043603171001
"405",2017,40,152.46399984816,2.7003647408,11.0688768,0.79260605268,2.2736222704,0.053030303,0,0,169.29946971204,5.76659306388,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,289.56,"ambient",214.12,0.790675647823837,0.712049317430226,0.0516947356622455,0.0653804575928499
"414",2017,21,76.55888223984,12.1212038652,23.22344,0,16.63227075536,0.023937949,0,0,128.5357968604,28.75347462056,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,289.56,"ambient",214.12,0.600297949095834,0.357551290116944,0.108459929011769,0.18067682752395
"419",2017,46,96.77460977184,14.00747887972,28.1174597,0,23.08048920464,0.016471651,0,0,161.9800375562,37.08796808436,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,289.56,"ambient",214.12,0.756491862302447,0.45196436471063,0.13131636325425,0.173585956172189
"421",2017,25,136.74234878304,7.55087250468,14.5188576,0,11.89890304848,0.197190096,0,0,170.7109819362,19.44977555316,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,289.56,"ambient",214.12,0.797267802803101,0.638624830856716,0.0678071062955352,0.0850493473549707
